Series ID,Qtr1 2001,Qtr2 2001,Qtr3 2001,Qtr4 2001,Annual 2001,Qtr1 2002,Qtr2 2002,Qtr3 2002,Qtr4 2002,Annual 2002,Qtr1 2003,Qtr2 2003,Qtr3 2003,Qtr4 2003,Annual 2003,Qtr1 2004,Qtr2 2004,Qtr3 2004,Qtr4 2004,Annual 2004,Qtr1 2005,Qtr2 2005,Qtr3 2005,Qtr4 2005,Annual 2005,Qtr1 2006,Qtr2 2006,Qtr3 2006,Qtr4 2006,Annual 2006,Qtr1 2007,Qtr2 2007,Qtr3 2007,Qtr4 2007,Annual 2007,Qtr1 2008,Qtr2 2008,Qtr3 2008,Qtr4 2008,Annual 2008,Qtr1 2009,Qtr2 2009,Qtr3 2009,Qtr4 2009,Annual 2009,Qtr1 2010,Qtr2 2010,Qtr3 2010,Qtr4 2010,Annual 2010,Qtr1 2011,Qtr2 2011,Qtr3 2011,Qtr4 2011,Annual 2011,Qtr1 2012,Qtr2 2012,Qtr3 2012,Qtr4 2012,Annual 2012,Qtr1 2013,Qtr2 2013,Qtr3 2013,Qtr4 2013,Annual 2013,Qtr1 2014,Qtr2 2014,Qtr3 2014,Qtr4 2014,Annual 2014,Qtr1 2015,Qtr2 2015,Qtr3 2015,Qtr4 2015,Annual 2015,Qtr1 2016,Qtr2 2016,Qtr3 2016,Qtr4 2016,Annual 2016,Qtr1 2017,Qtr2 2017,Qtr3 2017,Qtr4 2017,Annual 2017,Qtr1 2018,Qtr2 2018,Qtr3 2018,Qtr4 2018,Annual 2018,Qtr1 2019,Qtr2 2019,Qtr3 2019,Qtr4 2019,Annual 2019
ENU010002051011,1961,2008,2039,2036,2011,1968,1990,1952,1924,1959,1863,1882,1880,1884,1877,1908,1914,1906,1948,1919,1914,1912,1920,1918,1916,1842,1850,1849,1881,1856,1816,1799,1798,1820,1808,1792,1784,1776,1800,1788,1722,1708,1708,1736,1719,1708,1711,1728,1751,1725,1727,1709,1703,1720,1715,1672,1684,1704,1739,1700,1699,1703,1721,1750,1718,1735,1753,1751,1774,1753,1763,1771,1781,1817,1783,1788,1800,1807,1828,1806,1799,1806,1815,1839,1815,1812,1825,1851,1885,1843,1828(P),1845(P),1862(P), , 
ENU010002051012,10881,11321,11544,11569,11329,10993,11354,11147,11125,11155,10710,10805,10971,11029,10879,11248,11387,11521,11820,11494,11763,11882,11976,12155,11944,11516,11584,11917,12332,11837,12052,12017,12117,12405,12148,12134,12182,12079,12285,12170,11169,10995,10820,11248,11058,10440,10381,10315,10704,10460,9893,9894,9821,10224,9958,9398,9437,9486,9838,9540,9074,9126,9127,9447,9194,9049,9096,9060,9280,9121,8954,9014,9111,9443,9131,9208,9297,9423,9648,9394,9418,9557,9681,9923,9645,9718,9791,9915,10163,9897,9886(P),10049(P),10205(P), , 
ENU010002051013,6055,6127,6177,6170,6132,5980,6010,5907,5888,5946,5846,5839,5824,5792,5825,5758,5775,5772,5813,5780,5699,5725,5722,5702,5712,5567,5558,5603,5681,5602,5618,5601,5616,5654,5622,5604,5605,5592,5600,5600,5357,5309,5265,5295,5307,5147,5154,5140,5195,5159,5066,5065,5024,5084,5060,4990,5017,5013,5090,5028,4930,4967,4965,5018,4970,4977,4997,5011,5081,5017,5062,5111,5151,5239,5141,5237,5264,5290,5352,5286,5362,5429,5462,5535,5447,5502,5522,5572,5667,5566,5613(P),5680(P),5737(P), , 
ENU010002051021,30850,31721,32015,32060,31662,31305,31862,31394,31338,31475,30759,30861,30963,31041,30906,31094,31311,31414,31756,31394,31502,31597,31736,31873,31677,31166,31333,31734,32326,31640,32143,32095,32248,32642,32282,32322,32456,32255,32679,32428,31431,31239,31110,31546,31332,30762,30743,30849,31341,30924,30752,30871,30871,31344,30960,30519,30640,30894,31373,30857,30505,30669,30774,31255,30801,30853,31031,31089,31425,31100,30964,31171,31428,31943,31377,31686,31861,32042,32457,32012,32039,32310,32469,32823,32410,32207,32333,32491,32894,32481,32373(P),32556(P),32709(P), , 
ENU010002051022,1720,1752,1765,1785,1756,1784,1813,1762,1767,1782,1741,1746,1755,1767,1752,1787,1812,1824,1854,1819,1823,1839,1837,1835,1834,1815,1835,1851,1850,1838,1606,1597,1599,1627,1607,1642,1650,1635,1670,1649,1555,1547,1521,1554,1544,1537,1526,1536,1578,1544,1532,1521,1541,1581,1544,1519,1537,1574,1589,1555,1546,1579,1584,1620,1582,1623,1651,1680,1733,1672,1651,1671,1698,1760,1695,1741,1740,1781,1872,1784,1869,1927,1990,2089,1969,2089,2118,2195,2270,2168,2249(P),2301(P),2355(P), , 
ENU010002051023,10210,10433,10573,10628,10461,10454,10528,10385,10409,10444,10321,10390,10443,10554,10427,10799,10864,10941,11096,10925,11135,11234,11316,11484,11292,11432,11481,11651,11880,11611,12021,12116,12221,12408,12192,12363,12342,12268,12396,12342,12059,12059,11971,12105,12049,11826,11857,11849,11915,11862,11705,11771,11777,11953,11802,11896,11872,11928,12169,11966,12040,12062,12127,12331,12140,12254,12321,12294,12450,12330,12415,12508,12595,12822,12585,12762,12833,12849,13005,12862,12897,13047,13131,13282,13089,13216,13280,13385,13574,13364,13456(P),13593(P),13723(P), , 
ENU010002051024,14737,15283,15622,15736,15345,15473,15915,15714,15800,15726,15349,15546,15704,15846,15611,15939,16158,16360,16786,16311,16761,16931,17138,17524,17089,17049,17240,17637,18191,17529,18042,18194,18425,18947,18402,18808,19030,18976,19533,19087,18586,18605,18588,19251,18758,18699,18803,18973,19508,18996,18938,18981,19132,19741,19198,18949,19122,19298,19913,19321,19072,19232,19372,19922,19400,19388,19624,19625,20348,19746,19856,20164,20430,21120,20393,20532,20821,20972,21532,20964,20978,21209,21468,22047,21426,21494,21624,21922,22511,21888,21852(P),22187(P),22485(P), , 
ENU010002051025,8707,8824,8939,8975,8861,9097,9224,9250,9264,9209,9310,9374,9433,9548,9416,9670,9706,9832,9967,9794,10064,10104,10155,10180,10126,10165,10209,10347,10509,10308,10545,10589,10682,10777,10648,10800,10844,10921,10983,10887,10837,10851,10843,10936,10867,10896,10935,10979,11082,10973,11038,11063,11147,11224,11118,11167,11198,11288,11391,11261,11301,11370,11508,11669,11462,11656,11755,11752,11890,11763,11805,11905,11980,12178,11967,12143,12324,12244,12347,12265,12280,12367,12460,12608,12429,12552,12611,12685,12864,12678,13400(P),13618(P),13893(P), , 
ENU010002051026,7900,8100,8233,8244,8119,8144,8258,8186,8197,8196,8261,8313,8358,8380,8328,8476,8550,8546,8702,8569,8776,8852,8931,8911,8868,8752,8869,9055,9220,8974,9104,9163,9237,9327,9208,9315,9395,9503,9522,9434,9213,9286,9315,9434,9312,9271,9364,9382,9483,9375,9381,9444,9462,9554,9460,9370,9494,9596,9704,9541,9466,9546,9636,9737,9596,9659,9785,9781,9879,9776,9825,9950,10025,10203,10001,10254,10388,10523,10644,10452,10626,10663,10777,10897,10741,10808,10953,11063,11147,10993,11058(P),11210(P),11332(P), , 
ENU020002051011,356,356,357,355,356,327,341,343,336,337,326,327,336,337,332,342,346,355,345,347,350,347,352,352,350,339,347,357,354,349,328,335,352,350,341,336,351,366,367,355,366,380,389,383,380,373,382,397,391,386,393,408,418,414,408,431,454,466,465,454,465,476,482,475,475,473,480,478,469,475,475,487,489,482,483,475,479,483,474,478,468,491,509,506,494,513,519,528,536,524,513(P),538(P),552(P), , 
