Year,Qtr1,Qtr2,Qtr3,Qtr4
1991,126071,126352,126318,126669
1992,127357,128140,128559,128340
1993,128485,129086,129428,129742
1994,130555,130654,131116,131862
1995,132087,132130,132430,132614
1996,132916,133591,134284,135014
1997,135582,136115,136590,136916
1998,137148,137326,137814,138431
1999,138900,139132,139497,139991
2000,142386,142577,142437,142944
2001,143808,143415,143642,144210
2002,144339,144824,145121,145140
2003,146020,146677,146487,146815
2004,146832,147125,147557,148005
2005,148261,149142,149722,150032
2006,150556,151101,151585,152393
2007,153059,152715,153072,153645
2008,153874,154128,154560,154723
2009,154294,154658,154212,153591
2010,153711,154109,153917,153803
2011,153285,153456,153726,154028
2012,154601,154831,154957,155507
2013,155360,155560,155630,155040
2014,155621,155587,156059,156414
2015,156772,157258,156967,157555
2016,158699,158914,159506,159665
2017,159827,160200,160747,160475
2018,161512,161962,162006,162793
2019,163041,162820,163773,164435
